session_id,index,elapsed_time,event_name,name,level,page,room_coor_x,room_coor_y,screen_coor_x,screen_coor_y,hover_duration,text,fqid,room_fqid,text_fqid,level_group,elapsed_time_diff
20110318124381970,813,1677062,navigate_click,undefined,13,,487.12326,-252.9842,,,,,fqid_None,tunic.capitol_1.hall,text_fqid_None,13-22,0
20110318124381970,814,1677696,navigate_click,undefined,13,,535.4233,-264.1984,2.0,0.0,,,fqid_None,tunic.capitol_1.hall,text_fqid_None,13-22,634
20110318124381970,815,1678495,navigate_click,undefined,13,,646.3533,-250.62604,2.0,14.0,,,fqid_None,tunic.capitol_1.hall,text_fqid_None,13-22,799
20110318124381970,816,1679945,navigate_click,undefined,13,,820.6526,-24.923113,26.0,149.0,,,toentry,tunic.capitol_1.hall,text_fqid_None,13-22,1450
20110318124381970,817,1682748,map_click,close,13,,874.5772,337.11774,26.0,228.0,,,fqid_None,tunic.capitol_1.hall,text_fqid_None,13-22,2803
20110318124381970,818,1683698,navigate_click,undefined,13,,644.3501,-491.55768,152.0,547.0,,,fqid_None,tunic.capitol_1.hall,text_fqid_None,13-22,950
20110318124381970,819,1685130,navigate_click,undefined,13,,851.95087,-41.132946,138.0,314.0,,,toentry,tunic.capitol_1.hall,text_fqid_None,13-22,1432
20110318124381970,820,1685997,map_hover,basic,13,,,,,,583.0,,toentry,tunic.capitol_1.hall,text_fqid_None,13-22,867
20110318124381970,821,1686548,map_hover,basic,13,,,,,,36.0,,tunic.capitol_1,tunic.capitol_1.hall,text_fqid_None,13-22,551
20110318124381970,822,1686716,map_hover,basic,13,,,,,,53.0,,tunic.kohlcenter,tunic.capitol_1.hall,text_fqid_None,13-22,168
20110318124381970,823,1687014,map_hover,basic,13,,,,,,234.0,,tunic.library,tunic.capitol_1.hall,text_fqid_None,13-22,298
20110318124381970,824,1687797,map_hover,basic,13,,,,,,733.0,,tunic.library,tunic.capitol_1.hall,text_fqid_None,13-22,783
20110318124381970,825,1688682,map_hover,basic,13,,,,,,301.0,,tunic.humanecology,tunic.capitol_1.hall,text_fqid_None,13-22,885
20110318124381970,826,1688982,map_hover,basic,13,,,,,,150.0,,tunic.capitol_1,tunic.capitol_1.hall,text_fqid_None,13-22,300
20110318124381970,827,1689447,map_click,undefined,13,,121.63972,69.05849,,,,,tunic.library,tunic.capitol_1.hall,text_fqid_None,13-22,465
20110318124381970,828,1691111,navigate_click,undefined,13,,-747.6442,-46.000504,171.0,102.0,,,fqid_None,tunic.library.frontdesk,text_fqid_None,13-22,1664
20110318124381970,829,1691994,navigate_click,undefined,13,,-837.57465,91.21068,69.0,106.0,,,toentry,tunic.library.frontdesk,text_fqid_None,13-22,883
20110318124381970,830,1692512,map_hover,basic,13,,,,,,250.0,,toentry,tunic.library.frontdesk,text_fqid_None,13-22,518
20110318124381970,831,1692961,map_hover,basic,13,,,,,,83.0,,tunic.library,tunic.library.frontdesk,text_fqid_None,13-22,449
20110318124381970,832,1693445,map_click,undefined,13,,-368.1496,37.641605,,,,,tunic.capitol_1,tunic.library.frontdesk,text_fqid_None,13-22,484
20110318124381970,833,1696712,navigate_click,undefined,13,,62.06911,-205.72322,168.0,132.0,,,fqid_None,tunic.capitol_1.hall,text_fqid_None,13-22,3267
20110318124381970,834,1697478,navigate_click,undefined,13,,-339.06137,-223.91924,236.0,16.0,,,fqid_None,tunic.capitol_1.hall,text_fqid_None,13-22,766
20110318124381970,835,1698195,navigate_click,undefined,13,,-502.25156,-274.51392,46.0,33.0,,,fqid_None,tunic.capitol_1.hall,text_fqid_None,13-22,717
20110318124381970,836,1699045,navigate_click,undefined,13,,-618.6054,-270.65982,16.0,7.0,,,fqid_None,tunic.capitol_1.hall,text_fqid_None,13-22,850
20110318124381970,837,1701811,navigate_click,undefined,13,,-840.80835,-43.3935,10.0,151.0,,,fqid_None,tunic.capitol_1.hall,text_fqid_None,13-22,2766
20110318124381970,838,1702161,navigate_click,undefined,13,,-812.7378,-44.17778,21.0,13.0,,,fqid_None,tunic.capitol_1.hall,text_fqid_None,13-22,350
20110318124381970,839,1702529,navigate_click,undefined,13,,-813.2899,-38.748272,0.0,0.0,,,fqid_None,tunic.capitol_1.hall,text_fqid_None,13-22,368
20110318124381970,840,1703461,navigate_click,undefined,13,,-536.4906,161.36166,183.0,129.0,,,fqid_None,tunic.capitol_1.hall,text_fqid_None,13-22,932
20110318124381970,841,1704494,navigate_click,undefined,13,,-586.5798,-239.27652,33.0,265.0,,,fqid_None,tunic.capitol_1.hall,text_fqid_None,13-22,1033
20110318124381970,842,1704978,navigate_click,undefined,13,,-586.5891,-249.31583,0.0,0.0,,,fqid_None,tunic.capitol_1.hall,text_fqid_None,13-22,484
20110318124381970,843,1705944,navigate_click,undefined,13,,-609.32184,-402.20123,15.0,92.0,,,fqid_None,tunic.capitol_1.hall,text_fqid_None,13-22,966
20110318124381970,844,1706661,navigate_click,undefined,13,,-779.0196,-75.961655,112.0,222.0,,,fqid_None,tunic.capitol_1.hall,text_fqid_None,13-22,717
20110318124381970,845,1707194,navigate_click,undefined,13,,-421.44403,-81.36088,236.0,9.0,,,fqid_None,tunic.capitol_1.hall,text_fqid_None,13-22,533
20110318124381970,846,1708294,navigate_click,undefined,13,,-45.557663,-133.51361,241.0,49.0,,,fqid_None,tunic.capitol_1.hall,text_fqid_None,13-22,1100
20110318124381970,847,1708694,navigate_click,undefined,13,,-28.775492,-129.54384,1.0,3.0,,,fqid_None,tunic.capitol_1.hall,text_fqid_None,13-22,400
20110318124381970,848,1709544,navigate_click,undefined,13,,255.09247,50.65309,118.0,119.0,,,boss,tunic.capitol_1.hall,text_fqid_None,13-22,850
20110318124381970,849,1711681,person_click,basic,13,,35.65202,-16.869963,167.0,38.0,,Head back to the museum. Your gramps is waiting for you.,boss,tunic.capitol_1.hall,tunic.capitol_1.hall.boss.writeitup,13-22,2137
20110318124381970,850,1711961,navigate_click,undefined,13,,290.8823,-108.05631,168.0,60.0,,,boss,tunic.capitol_1.hall,text_fqid_None,13-22,280
20110318124381970,851,1712428,person_click,basic,13,,332.01822,-150.57239,27.0,28.0,,Head back to the museum. Your gramps is waiting for you.,boss,tunic.capitol_1.hall,tunic.capitol_1.hall.boss.writeitup,13-22,467
20110318124381970,852,1712978,navigate_click,undefined,13,,426.05856,-253.64355,62.0,68.0,,,fqid_None,tunic.capitol_1.hall,text_fqid_None,13-22,550
20110318124381970,853,1713481,navigate_click,undefined,13,,441.79797,-258.18805,0.0,0.0,,,fqid_None,tunic.capitol_1.hall,text_fqid_None,13-22,503
20110318124381970,854,1713611,navigate_click,undefined,13,,471.39706,-261.77808,0.0,0.0,,,fqid_None,tunic.capitol_1.hall,text_fqid_None,13-22,130
20110318124381970,855,1713911,navigate_click,undefined,13,,511.558,-264.26913,0.0,0.0,,,fqid_None,tunic.capitol_1.hall,text_fqid_None,13-22,300
20110318124381970,856,1715027,navigate_click,undefined,13,,811.81964,-185.79979,99.0,54.0,,,toentry,tunic.capitol_1.hall,text_fqid_None,13-22,1116
20110318124381970,857,1715794,map_hover,basic,13,,,,,,500.0,,toentry,tunic.capitol_1.hall,text_fqid_None,13-22,767
20110318124381970,858,1716991,map_hover,basic,13,,,,,,133.0,,tunic.humanecology,tunic.capitol_1.hall,text_fqid_None,13-22,1197
20110318124381970,859,1716829,map_hover,basic,13,,,,,,217.0,,tunic.kohlcenter,tunic.capitol_1.hall,text_fqid_None,13-22,0
20110318124381970,860,1717412,map_hover,basic,13,,,,,,566.0,,tunic.library,tunic.capitol_1.hall,text_fqid_None,13-22,583
20110318124381970,861,1717578,map_hover,basic,13,,,,,,66.0,,tunic.library,tunic.capitol_1.hall,text_fqid_None,13-22,166
20110318124381970,862,1717628,map_hover,basic,13,,,,,,33.0,,tunic.capitol_1,tunic.capitol_1.hall,text_fqid_None,13-22,50
20110318124381970,863,1717811,map_hover,basic,13,,,,,,149.0,,tunic.historicalsociety,tunic.capitol_1.hall,text_fqid_None,13-22,183
20110318124381970,864,1718181,map_hover,basic,13,,,,,,20.0,,tunic.historicalsociety,tunic.capitol_1.hall,text_fqid_None,13-22,370
20110318124381970,865,1718861,map_click,undefined,13,,413.96817,158.44537,,,,,tunic.historicalsociety,tunic.capitol_1.hall,text_fqid_None,13-22,680
20110318124381970,866,1720581,navigate_click,undefined,13,,597.7195,144.27394,3.0,35.0,,,tobasement,tunic.historicalsociety.entry,text_fqid_None,13-22,1720
20110318124381970,867,1722946,cutscene_click,basic,13,,-5.413386,-82.83728,17.0,150.0,,Jo!,ch3start,tunic.historicalsociety.basement,tunic.historicalsociety.basement.ch3start,13-22,2365
20110318124381970,868,1724671,cutscene_click,basic,13,,-4.52766,-95.34735,3.0,10.0,,Check out the next artifact!,ch3start,tunic.historicalsociety.basement,tunic.historicalsociety.basement.ch3start,13-22,1725
20110318124381970,869,1727580,cutscene_click,basic,13,,177.92476,-139.52777,42.0,24.0,,What is it?,ch3start,tunic.historicalsociety.basement,tunic.historicalsociety.basement.ch3start,13-22,2909
20110318124381970,870,1728880,cutscene_click,basic,13,,172.92673,-133.98914,10.0,4.0,,"I think it's a flag! Pretty spiffy, eh?",ch3start,tunic.historicalsociety.basement,tunic.historicalsociety.basement.ch3start,13-22,1300
20110318124381970,871,1729531,cutscene_click,basic,13,,177.74539,-128.41603,3.0,4.0,,"It's really cool, Gramps. But I'm worried about Teddy.",ch3start,tunic.historicalsociety.basement,tunic.historicalsociety.basement.ch3start,13-22,651
20110318124381970,872,1730080,cutscene_click,basic,13,,177.92247,-128.41676,0.0,0.0,,He's still missing!,ch3start,tunic.historicalsociety.basement,tunic.historicalsociety.basement.ch3start,13-22,549
20110318124381970,873,1730546,cutscene_click,basic,13,,177.98112,-128.417,0.0,0.0,,"We'll find him, Jo.",ch3start,tunic.historicalsociety.basement,tunic.historicalsociety.basement.ch3start,13-22,466
20110318124381970,874,1730946,cutscene_click,basic,13,,178.00371,-128.4171,0.0,0.0,,Want to look for more clues?,ch3start,tunic.historicalsociety.basement,tunic.historicalsociety.basement.ch3start,13-22,400
20110318124381970,875,1731411,navigate_click,undefined,13,,178.01292,-128.41714,0.0,0.0,,,fqid_None,tunic.historicalsociety.basement,text_fqid_None,13-22,465
20110318124381970,876,1732637,navigate_click,undefined,13,,-155.67682,-53.054905,216.0,56.0,,,seescratches,tunic.historicalsociety.basement,text_fqid_None,13-22,1226
20110318124381970,877,1735661,cutscene_click,basic,13,,-232.33601,-212.89899,25.0,111.0,,"Hey, look at those scratches!",seescratches,tunic.historicalsociety.basement,tunic.historicalsociety.basement.seescratches,13-22,3024
20110318124381970,878,1736263,cutscene_click,basic,13,,-235.12389,-215.68687,2.0,2.0,,The kidnapper probably took Teddy on the elevator!,seescratches,tunic.historicalsociety.basement,tunic.historicalsociety.basement.seescratches,13-22,602
20110318124381970,879,1740063,cutscene_click,basic,13,,-258.82086,-208.71718,17.0,5.0,,"Great Scott, you're right!",seescratches,tunic.historicalsociety.basement,tunic.historicalsociety.basement.seescratches,13-22,3800
20110318124381970,880,1740530,cutscene_click,basic,13,,-254.63904,-210.11111,3.0,1.0,,Why isn't the button working?,seescratches,tunic.historicalsociety.basement,tunic.historicalsociety.basement.seescratches,13-22,467
20110318124381970,881,1740913,cutscene_click,basic,13,,-254.63904,-210.11111,0.0,0.0,,We'll need a key card.,seescratches,tunic.historicalsociety.basement,tunic.historicalsociety.basement.seescratches,13-22,383
20110318124381970,882,1741501,cutscene_click,basic,13,,-254.63904,-210.11111,0.0,0.0,,"I had one, but Teddy chewed it up.",seescratches,tunic.historicalsociety.basement,tunic.historicalsociety.basement.seescratches,13-22,588
