,session_id,correct,session,q
2374,20110318124381970_q1,0,20110318124381970,1
25936,20110318124381970_q2,1,20110318124381970,2
49498,20110318124381970_q3,0,20110318124381970,3
73060,20110318124381970_q4,0,20110318124381970,4
96622,20110318124381970_q5,0,20110318124381970,5
120184,20110318124381970_q6,0,20110318124381970,6
143746,20110318124381970_q7,1,20110318124381970,7
167308,20110318124381970_q8,0,20110318124381970,8
190870,20110318124381970_q9,0,20110318124381970,9
214432,20110318124381970_q10,0,20110318124381970,10
237994,20110318124381970_q11,0,20110318124381970,11
261556,20110318124381970_q12,0,20110318124381970,12
285118,20110318124381970_q13,0,20110318124381970,13
308680,20110318124381970_q14,0,20110318124381970,14
332242,20110318124381970_q15,0,20110318124381970,15
355804,20110318124381970_q16,0,20110318124381970,16
379366,20110318124381970_q17,0,20110318124381970,17
402928,20110318124381970_q18,0,20110318124381970,18
