fqid,text_fqid,session_id,index,elapsed_time,event_name,name,level,page,room_coor_x,room_coor_y,screen_coor_x,screen_coor_y,hover_duration,text,room_fqid,level_group,elapsed_time_diff
boss,tunic.capitol_0.hall.boss.talktogramps,5326,544,13024,1,1,1,1,12772,12688,540,404,1,3,1,1,3393
boss,tunic.capitol_1.hall.boss.haveyougotit,5248,1260,20563,1,1,5,1,19075,17293,631,409,1,3,1,1,5107
chap2_finale_c,tunic.capitol_1.hall.chap2_finale_c,262,246,327,1,1,1,1,314,320,20,18,1,34,1,1,42
block_0,tunic.drycleaner.frontdesk.block_0,170,173,220,1,1,1,1,220,162,173,138,1,1,1,1,206
block_1,tunic.drycleaner.frontdesk.block_1,2,3,3,1,1,1,1,3,3,3,3,1,1,1,1,3
worker,tunic.drycleaner.frontdesk.worker.done,23562,1748,107126,1,1,1,1,88062,5630,1435,1158,1,5,1,1,5681
worker,tunic.drycleaner.frontdesk.worker.done2,744,561,1199,1,1,3,1,1195,414,404,226,1,1,1,1,891
worker,tunic.drycleaner.frontdesk.worker.hub,23562,2327,294994,1,1,1,1,134178,9899,2493,2143,1,24,1,1,9090
worker,tunic.drycleaner.frontdesk.worker.takealook,2758,523,2974,1,1,1,1,1930,514,307,228,1,1,1,1,1242
janitor,tunic.historicalsociety.basement.janitor,6900,966,8893,1,1,7,1,8655,1720,481,350,1,2,1,1,2905
door_block_clean,tunic.historicalsociety.closet_dirty.door_block_clean,2345,556,6431,1,1,1,1,6367,6379,533,462,1,3,1,1,2432
door_block_talk,tunic.historicalsociety.closet_dirty.door_block_talk,5578,663,9166,1,1,1,1,9006,8992,548,509,1,2,1,1,3366
gramps,tunic.historicalsociety.closet_dirty.gramps.archivist,3901,702,10071,1,1,1,1,5422,4926,635,418,1,2,1,1,2911
gramps,tunic.historicalsociety.closet_dirty.gramps.helpclean,19136,886,30024,1,1,1,1,30228,30130,931,540,1,1,1,1,3578
gramps,tunic.historicalsociety.closet_dirty.gramps.news,23562,2210,254441,1,1,1,1,136307,131537,2500,2098,1,21,1,1,8898
gramps,tunic.historicalsociety.closet_dirty.gramps.nothing,3960,997,6695,1,1,5,1,6617,6506,717,373,1,1,1,1,2343
photo,tunic.historicalsociety.closet_dirty.photo,7904,812,9853,1,1,6,1,9848,9770,724,356,1,1,1,1,3049
